Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$13.96,-0.21,-1.482%,3356686872.00,United States,,6378,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$14.46,-0.14,-0.959%,3476912047.00,United States,,8228,Real Estate,Real Estate Investment Trusts
DLR,Digital Realty Trust Inc. Common Stock,$128.75,1.14,0.893%,38973821731.00,United States,2004,1570581,Real Estate,Real Estate Investment Trusts
DOC,Physicians Realty Trust Common Shares of Beneficial Interest,$11.00,-0.01,-0.091%,2623361928.00,United States,2013,2587374,Real Estate,Real Estate Investment Trusts
DOUG,Douglas Elliman Inc. Common Stock,$1.60,-0.12,-6.977%,141811710.00,United States,2021,1056531,Real Estate,Building operators
DRH,Diamondrock Hospitality Company Common Stock,$8.19,0.12,1.487%,1716846743.00,United States,2005,1227034,Real Estate,Real Estate Investment Trusts
DX,Dynex Capital Inc. Common Stock,$10.78,0.02,0.186%,610634911.00,United States,,820686,Real Estate,Real Estate Investment Trusts
EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,$5.61,-0.01,-0.178%,84766186.00,United States,2013,67777,Real Estate,Real Estate Investment Trusts
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,$0.8502,-0.1698,-16.647%,13135123.00,China,2020,6746,Real Estate,Other Consumer Services
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),$67.87,0.25,0.37%,11233328556.00,China,2006,456650,Real Estate,Other Consumer Services
EEIQ,EpicQuest Education Group International Limited Common Stock,$0.8646,-0.0343,-3.816%,9891024.00,United States,2021,10507,Real Estate,Other Consumer Services
EGP,EastGroup Properties Inc. Common Stock,$167.95,1.25,0.75%,7781194207.00,United States,,291963,Real Estate,Real Estate Investment Trusts
ELME,Elme Communities Common Stock,$13.20,0.10,0.763%,1159390426.00,United States,2000,362961,Real Estate,Real Estate Investment Trusts
ELS,Equity Lifestyle Properties Inc. Common Stock,$65.66,0.67,1.031%,12238546389.00,United States,,1116874,Real Estate,Real Estate Investment Trusts
EPR,EPR Properties Common Stock,$45.09,0.44,0.985%,3396604179.00,United States,1997,382084,Real Estate,Real Estate Investment Trusts
EPRT,Essential Properties Realty Trust Inc. Common Stock,$22.68,0.12,0.532%,3538629355.00,United States,2018,750195,Real Estate,Real Estate Investment Trusts
EQC,Equity Commonwealth Common Shares of Beneficial Interest,$18.95,0.13,0.691%,2022193272.00,United States,,471742,Real Estate,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$767.27,10.26,1.355%,72033934732.00,United States,2000,271690,Real Estate,Real Estate Investment Trusts
EQR,Equity Residential Common Shares of Beneficial Interest,$54.54,0.83,1.545%,20710197900.00,United States,,2273896,Real Estate,Real Estate Investment Trusts
ESRT,Empire State Realty Trust Inc. Class A Common Stock,$8.51,0.13,1.551%,1382704085.00,United States,2013,1021348,Real Estate,Real Estate Investment Trusts
