Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CWST,Casella Waste Systems Inc. Class A Common Stock,$78.71,0.89,1.144%,4563820206.00,United States,1997,134752,Utilities,Environmental Services
CWT,California Water Service Group Common Stock,$49.01,-0.40,-0.81%,2828416110.00,United States,,186170,Utilities,Water Supply
D,Dominion Energy Inc. Common Stock,$44.96,0.09,0.201%,37622382824.00,United States,,3991165,Utilities,Electric Utilities: Central
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,$19.50,0.01,0.051%,4022045177.00,United States,2020,7607,Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,$98.57,0.07,0.071%,20330922720.00,United States,,1314985,Utilities,Electric Utilities: Central
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,$19.40,0.15,0.779%,4001419304.00,United States,2021,18372,Utilities,Electric Utilities: Central
DTM,DT Midstream Inc. Common Stock ,$54.43,-0.57,-1.036%,5278132673.00,United States,2021,904537,Utilities,Oil & Gas Production
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,$22.71,0.18,0.799%,4684135690.00,United States,2017,7625,Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$88.27,0.31,0.352%,68030724231.00,United States,,2491068,Utilities,Power Generation
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,$23.11,0.17,0.741%,17811148034.00,United States,2018,42334,Utilities,Power Generation
DZSI,DZS Inc. Common Stock,$1.61,-0.01,-0.617%,50167243.00,United States,,152295,Utilities,Telecommunications Equipment
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,$20.95,0.10,0.48%,4430360900.00,United States,2016,13669,Utilities,Electric Utilities: Central
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),$7.60,0.08,1.064%,17455628297.00,Brazil,2016,724318,Utilities,Electric Utilities: Central
ED,Consolidated Edison Inc. Common Stock,$89.35,0.10,0.112%,30845387254.00,United States,,2497169,Utilities,Power Generation
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,$10.31,-0.23,-2.182%,467277604.00,Argentina,2007,6760,Utilities,Electric Utilities: Central
EE,Excelerate Energy Inc. Class A Common Stock,$17.17,1.12,6.978%,1859091297.00,United States,2022,321729,Utilities,Oil/Gas Transmission
EIX,Edison International Common Stock,$63.72,0.55,0.871%,24440998392.00,United States,,1883703,Utilities,Electric Utilities: Central
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,$21.17,0.01,0.047%,4238473221.00,United States,2016,11914,Utilities,Electric Utilities: Central
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$12.17,0.00,0.00%,156384500.00,Israel,,793,Utilities,Electric Utilities: Central
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),$9.04,0.25,2.844%,24738445900.00,Brazil,2021,1272295,Utilities,Electric Utilities: Central
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),$3.01,0.04,1.347%,4163826743.00,,2016,506717,Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,$20.42,-0.1713,-0.832%,4318280171.00,United States,,9866,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,$12.29,-0.01,-0.081%,5614704001.00,United States,,1155665,Utilities,Natural Gas Distribution
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,$22.05,0.13,0.593%,4662981282.00,United States,2016,9113,Utilities,Power Generation
EPD,Enterprise Products Partners L.P. Common Stock,$25.98,0.09,0.348%,56422125585.00,United States,,4524006,Utilities,Natural Gas Distribution
ES,Eversource Energy (D/B/A) Common Stock,$53.80,-0.44,-0.811%,18793750044.00,United States,,2398274,Utilities,Electric Utilities: Central
ET,Energy Transfer LP Common Units ,$13.14,0.12,0.922%,41326165676.00,United States,,9585887,Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,$96.61,-0.22,-0.227%,20430413679.00,United States,,1753052,Utilities,Electric Utilities: Central
